NAME,MASS,RADIUS,ORB_PERIOD,ECCENTRICITY
Kepler-366 b,0.0107805,0.130252,3.281959,
HD 39091 b,10.088,,2151,0.6405
HD 7449 b,1.3131,,1275,0.82
HD 149026 b,0.361471,0.654,2.8758911,0
Kepler-186 b,0.00370062,0.0953739,3.8867907,0.04
Kepler-219 c,0.0392746,0.319386,22.714613,
OGLE-2006-BLG-109L c,0.271,,4927.5,0.15
Kepler-361 c,0.0199023,0.224819,55.188023,
Kepler-265 e,0.0207641,0.231064,67.831024,
Qatar-2 b,2.48409,1.144,1.3371182,0
Kepler-293 b,0.0281036,0.273887,19.254196,
Kepler-166 b,0.0171819,0.202516,7.650254,
HD 216437 b,2.16817,,1353,0.319
HAT-P-49 b,1.72959,1.413,2.691548,0
Kepler-367 c,0.00554835,0.107057,53.578637,
Kepler-313 b,0.0200225,0.225711,14.970418,
Kepler-150 c,0.0422294,0.3292,7.381998,
Kepler-87 b,1.02138,1.21,114.73635,0.036
HAT-P-7 b,1.7916,1.363,2.204737,0
Kepler-316 c,0.00493175,0.103488,6.827766,
PSR B1257+12 C,0.0122719,,98.2114,0.0252
HD 49674 b,0.101571,,4.94737,0.087
HD 82943 b,1.68512,,442.4,0.203
Kepler-342 c,0.014454,0.174859,26.234138,
